Item Description,Department,Category,Quantity Sold,Sales Amount,Quantity Returned,Returns Amount,Costs,Discounts,Margin,Gross Profit,Net Sales,Quantity on Hand,Supplier,Supplier Code,Product UUID
LBB AUB Danse Pink,Bar & Panty Set,general,1.0,91.0,0.0,0.0,30.37,18.2,58.28,42.43,72.8,N/A,,,19796bd4-3a3c-40be-805a-d78b1e24b7f5
LBB Ck Wild Body,Body,Body,1.0,103.0,0.0,0.0,40.45,0.0,60.73,62.55,103.0,N/A,,,8ebf5eaf-5dc1-4092-9657-8ebd29396da6
LBB EP Melody ,Bra ,general,1.0,254.0,0.0,0.0,101.0,0.0,60.24,153.0,254.0,N/A,,,6dd18118-5d0b-40e4-b7d2-396bf1bb99df
LBB CK Black Magic,general,general,1.0,51.0,0.0,0.0,20.45,0.0,59.9,30.55,51.0,N/A,,,71ad0426-1023-46aa-875e-edb54111ea42
LBB CK Sapphire Seas,Swimsuit,general,1.0,120.0,0.0,0.0,47.75,0.0,60.21,72.25,120.0,N/A,,,95f176ca-116a-4bcd-be07-bedc4384195a
LBB MC Glossy Tights,Hoisery,Panty Hose,1.0,45.0,0.0,0.0,16.13,0.0,64.16,28.87,45.0,N/A,,,6fa6fe0c-9a3e-41c3-9527-88285aaa66dd
LBB EL Lucie ,Lingerie,Set,1.0,82.0,0.0,0.0,32.4,0.0,60.49,49.6,82.0,N/A,,,3cc17c17-2aa5-4045-b0b1-7fcf1e0bbb45
LBB CH Comfort Seamless,Bra,Minimizer,1.0,122.0,0.0,0.0,39.36,0.0,67.74,82.64,122.0,N/A,,,c6b0f378-1bd3-4eba-84f7-e2a7b64d1db3
LBB CAD Mini Corset,Corset,Over Bust,1.0,585.0,0.0,0.0,195.0,0.0,66.67,390.0,585.0,N/A,,,2d86300f-b5af-456c-a2e9-1cb4a707a682
LBB CAD Jillian Carmen Lace,Underwear,High Waist,1.0,221.0,0.0,0.0,72.0,22.1,63.8,126.9,198.9,N/A,,,ba2ce4a9-bbda-4a54-aa2f-43edf2fe858c
LBB SP Caresse,Bra,Strapless,1.0,112.0,0.0,0.0,31.5,0.0,71.88,80.5,112.0,N/A,,,d9ec38bc-4d62-41de-90be-faefd7d7dcda
LBB CH Magnifique,Bra,general,1.0,90.0,0.0,0.0,29.95,0.0,66.72,60.05,90.0,N/A,,,e0a77170-c5a0-4eb7-a7eb-71121b26ef99
LBB AUB Hypnolove,Lingerie,Bra and Panty Set,1.0,165.0,0.0,0.0,0.0,33.0,100.0,132.0,132.0,N/A,,,feda80aa-02b8-4b08-a115-a0534340e87e
LBB Boomba ,general,Accessory,1.0,57.0,0.0,0.0,25.0,0.0,56.14,32.0,57.0,N/A,,,a86ba5c3-1758-45b0-8ecb-3e76f267bdb5
LBB AUB Dans Plunge Blk,Bra,Plunge,1.0,232.0,0.0,0.0,65.58,0.0,71.73,166.42,232.0,N/A,,,133b301e-278b-41af-bb28-a64bc49825cb
LBB CK Stand Out ,Bra and Panty Set,SET,1.0,39.0,0.0,0.0,15.0,9.75,48.72,14.25,29.25,N/A,,,65379241-a2cc-4c97-aedf-ae882ddfb703
LBB AJ Capricieux,Bar & Panty Set,general,1.0,212.0,0.0,0.0,53.0,0.0,75.0,159.0,212.0,N/A,,,1ee6a9c0-66e6-4861-ad66-d2fc656eb2c1
LBB SC Sex Ed ,Set,Bra and Panty,1.0,50.0,0.0,0.0,18.0,10.0,55.0,22.0,40.0,N/A,,,e9097e0e-9455-4132-910f-62b4e699f8e7
LBB CT Fouqueuse,Bra and Panty Set,general,1.0,204.0,0.0,0.0,68.0,0.0,66.67,136.0,204.0,N/A,,,bbeaf599-b0f9-4054-9fe1-d0cc5dbe041e
LBB AD Sporty Tanga Navy/Grey,Underwear,Tanga,1.0,55.0,0.0,0.0,22.0,13.75,46.67,19.25,41.25,N/A,,,d2fdcc41-b3bd-438c-af83-84bcdc932032
LBB EP ALLURE ,Bra and Panty Set,general,1.0,133.0,0.0,0.0,53.1,0.0,60.08,79.9,133.0,N/A,,,4cbc001e-9501-4462-beca-3ccd64bd83ac
LBB ML Adage,general,general,1.0,64.0,0.0,0.0,25.2,0.0,60.62,38.8,64.0,N/A,,,e8742232-b993-4688-8473-556ec339def8
LBB SAP Gaudy Body Blk,Bodysuit,Body,1.0,150.0,0.0,0.0,25.2,0.0,83.2,124.8,150.0,N/A,,,e9efb425-2fe6-4ba5-80f0-f31a79d5ce79
LBB BR Mistela,Bra and Panty Set,SET,1.0,30.0,0.0,0.0,8.0,0.0,73.33,22.0,30.0,N/A,,,f5d8e656-acdb-48c3-acb5-1156a8462a68
LBB AD Glam Underwire Bra 36D,Bra,Underwire ,1.0,85.0,0.0,0.0,32.0,0.0,62.35,53.0,85.0,0.0,Absolutely Lingerie,ADFGL02,85CE27D0-BA94-4D92-B5CE-384A9A15E10D
LBB AUB Les Bodys,Body,general,1.0,310.0,0.0,0.0,103.43,31.0,62.93,175.57,279.0,N/A,,,dd84c332-820e-4430-adcc-efd38da0fc8e
LBB MC Cut and Curled back seam,Hosiery,Stockings ,1.0,50.0,0.0,0.0,19.35,0.0,61.3,30.65,50.0,N/A,,,ec97b25d-0908-4578-83ae-3553f07e9a3b
LBB EL Carrie Plunge,Bra,general,1.0,79.5,0.0,0.0,31.5,0.0,60.38,48.0,79.5,N/A,,,3735673b-e18e-4fcc-9975-042a191dde6f
